date,totalliabilities,totalshareholderequity,totalassets,cashandcashequivalentsatcarryingvalue,debt_to_equity
2024-09-30,308030000000,56950000000,364980000000,29943000000,5.408779631255487
2023-09-30,290437000000,62146000000,352583000000,29965000000,4.673462491552152
2022-09-30,302083000000,50672000000,352755000000,23646000000,5.961536943479634
2021-09-30,287912000000,63090000000,351002000000,34940000000,4.563512442542399
2020-09-30,258549000000,65339000000,323888000000,38016000000,3.957039440456695
2019-09-30,248028000000,90488000000,338516000000,48844000000,2.7410043320661304
2018-09-30,258578000000,107147000000,365725000000,25913000000,2.4133013523477094
2017-09-30,241272000000,134047000000,375319000000,20289000000,1.7999060031183092
2016-09-30,193437000000,128249000000,321686000000,20484000000,1.5082924623193943
2015-09-30,171124000000,119355000000,290479000000,21120000000,1.433739684135562
2014-09-30,120292000000,111547000000,231839000000,13844000000,1.0783974468161404
2013-09-30,83451000000,123549000000,207000000000,14259000000,0.6754486074351067
2012-09-30,57854000000,118210000000,176064000000,10746000000,0.48941713898993316
2011-09-30,39756000000,76615000000,116371000000,9815000000,0.5189062194087319
2010-09-30,27392000000,47791000000,75183000000,11261000000,0.5731623108953569
2009-09-30,26019000000,27832000000,53851000000,5263000000,0.9348591549295775
2008-09-30,18542000000,21030000000,39572000000,11875000000,0.8816928197812649
2007-09-30,10815000000,14532000000,25347000000,9352000000,0.7442196531791907
2006-09-30,7221000000,9984000000,17205000000,6392000000,0.7232572115384616
2005-09-30,4085000000,7466000000,11551000000,3491000000,0.5471470667023841
