date,totalliabilities,totalshareholderequity,totalassets,cashandcashequivalentsatcarryingvalue,debt_to_equity
2024-12-31,338924000000,285970000000,624894000000,78779000000,1.1851732699234185
2023-12-31,325979000000,201875000000,527854000000,73387000000,1.6147566563467493
2022-12-31,316632000000,146043000000,462675000000,53888000000,2.1680737864875415
2021-12-31,282304000000,138245000000,420549000000,36220000000,2.04205577055228
2020-12-31,227791000000,93404000000,321195000000,42122000000,2.4387713588283155
2019-12-31,163188000000,62060000000,225248000000,36092000000,2.6295198195294875
2018-12-31,119099000000,43549000000,162648000000,31750000000,2.734827435762015
2017-12-31,103601000000,27709000000,131310000000,20522000000,3.7388935003067596
2016-12-31,64117000000,19285000000,83402000000,19334000000,3.324708322530464
2015-12-31,51363000000,13384000000,64747000000,15890000000,3.8376419605499104
2014-12-31,43764000000,10741000000,54505000000,14557000000,4.074480960804395
2013-12-31,30413000000,9746000000,40159000000,8658000000,3.1205622819618304
2012-12-31,24363000000,8192000000,32555000000,8084000000,2.9739990234375
2011-12-31,17521000000,7757000000,25278000000,5269000000,2.2587340466675263
2010-12-31,11933000000,6864000000,18797000000,3777000000,1.738490675990676
2009-12-31,8556000000,5257000000,13813000000,3444000000,1.627544226745292
2008-12-31,5642000000,2672000000,8314000000,2769000000,2.1115269461077846
2007-12-31,5288000000,1197000000,6485000000,2539000000,4.417710944026734
2006-12-31,3932000000,431000000,4363000000,1022000000,9.122969837587007
2005-12-31,3450000000,246000000,3696000000,1013000000,14.024390243902438
