date,totalliabilities,totalshareholderequity,totalassets,cashandcashequivalentsatcarryingvalue,debt_to_equity
2024-12-31,3658056000000,344758000000,4002814000000,469317000000,10.610503599626405
2023-12-31,3547515000000,327878000000,3875393000000,624151000000,10.819618882633174
2022-12-31,3373411000000,292332000000,3665743000000,567234000000,11.539656965368144
2021-12-31,3449440000000,294127000000,3743567000000,740834000000,11.727723058406742
2020-12-31,3105403000000,279354000000,3384757000000,527609000000,11.11637205839186
2019-12-31,2426049000000,261330000000,2687379000000,263631000000,9.283469176902766
2018-12-31,2366017000000,256515000000,2622532000000,278793000000,9.223698419195758
2017-12-31,2277907000000,255693000000,2533600000000,431304000000,8.908757768104719
2016-12-31,2236782000000,254190000000,2490972000000,389635000000,8.79964593414375
2015-12-31,2104125000000,247573000000,2351698000000,360505000000,8.499008373287879
2014-12-31,2340547000000,231727000000,2572274000000,512308000000,10.100450098607412
2013-12-31,2204511000000,211178000000,2415689000000,355822000000,10.439112975783463
2012-12-31,2155072000000,204069000000,2359141000000,175537000000,10.560506495352062
2011-12-31,2082219000000,183573000000,2265792000000,144881000000,11.342730140053275
2010-12-31,1941499000000,176106000000,2117605000000,49240000000,11.024604499562763
2009-12-31,1866624000000,165365000000,2031989000000,89436000000,11.287902518670819
2008-12-31,2008168000000,166884000000,2175052000000,165034000000,12.033316555212004
2007-12-31,1438926000000,123221000000,1562147000000,51610000000,11.677603655221107
2006-12-31,1235730000000,115790000000,1351520000000,53959000000,10.672165126522152
2005-12-31,1091731000000,107211000000,1198942000000,58331000000,10.183012937105334
