date,totalliabilities,totalshareholderequity,totalassets,cashandcashequivalentsatcarryingvalue,debt_to_equity
2024-12-31,182869000000,263705000000,453475000000,23029000000,0.6934604956295861
2023-12-31,163779000000,204802000000,376317000000,31568000000,0.7996943389224714
2022-12-31,166594000000,195049000000,369067000000,29640000000,0.8541135817153638
2021-12-31,163240000000,168577000000,338923000000,6802000000,0.9683408768693238
2020-12-31,168620000000,157150000000,332750000000,4364000000,1.0729875914731148
2019-12-31,163659000000,191650000000,362597000000,3089000000,0.853947299765197
2018-12-31,147668000000,191794000000,346196000000,3042000000,0.7699302376508128
2017-12-31,154191000000,187688000000,348691000000,3177000000,0.8215282809769404
2016-12-31,156484000000,167325000000,330314000000,3657000000,0.9352099208127895
2015-12-31,159948000000,170811000000,336758000000,3705000000,0.9364033932240898
2014-12-31,168429000000,174399000000,349493000000,4616000000,0.9657681523403231
2013-12-31,166313000000,174003000000,346808000000,4644000000,0.9558053596777067
2012-12-31,162135000000,165863000000,333795000000,9582000000,0.9775236188902889
2011-12-31,170308000000,154396000000,331052000000,12664000000,1.1030596647581543
2010-12-31,149831000000,146839000000,302510000000,7825000000,1.0203760581316952
2009-12-31,117931000000,110569000000,233323000000,10693000000,1.0665828577630259
2008-12-31,110529000000,112965000000,228052000000,31437000000,0.978435798698712
2007-12-31,116038000000,121762000000,242082000000,33981000000,0.9529902596869302
2006-12-31,105171000000,113844000000,219015000000,28244000000,0.9238168019394961
2005-12-31,93622000000,111186000000,208335000000,28671000000,0.8420304714622344
