Date,Close,Open,High,Low,Volume,Daily_Return,SMA_20,RSI_14
2025-07-23,296.76,292.84,296.99,292.55,7080000.0,0.0183,296.76,
2025-07-22,291.43,291.5,293.63,289.18,6720000.0,0.0016,294.095,0.0
2025-07-21,290.97,291.0,294.18,290.58,7900000.0,-0.001,293.05333333333334,0.0
2025-07-18,291.27,289.52,292.5,288.23,12220000.0,0.004699999999999999,292.6075,4.926108374383546
2025-07-17,289.9,283.44,290.3,283.44,8510000.0,0.0143,292.066,4.021447721179072
2025-07-16,285.82,288.4,290.73,283.01,9980000.0,-0.0025,291.02500000000003,2.599653379549025
2025-07-15,286.55,288.0,291.95,285.48,12530000.0,-0.0074,290.3857142857143,8.394458027709689
2025-07-14,288.7,287.07,289.3,285.26,9080000.0,0.0064,290.175,22.05270457697621
2025-07-11,286.86,285.52,287.38,283.65,7380000.0,-0.0046,289.8066666666667,19.55719557195556
2025-07-10,288.19,283.0,288.31,283.0,8410000.0,0.0178,289.645,25.639567936327282
2025-07-09,283.16,287.18,287.2,282.48,11270000.0,0.0013,289.05545454545455,19.938107869142215
2025-07-08,282.78,289.27,289.7,280.31,15440000.0,-0.0315,288.53249999999997,19.608695652173722
2025-07-07,291.97,295.25,296.04,290.08,8830000.0,-0.013600000000000001,288.79692307692306,42.55980118049087
2025-07-03,296.0,292.15,296.4,291.21,6540000.0,0.0137,289.31142857142856,48.95085588072888
2025-07-02,292.0,292.04,292.82,289.7,8160000.0,0.0055000000000000005,289.49066666666664,44.08254599701641
2025-07-01,290.41,290.89,291.13,286.59,9340000.0,0.0017000000000000001,289.548125,48.60197368421054
2025-06-30,289.91,290.4,292.65,288.92,12690000.0,0.0098,289.5694117647059,48.548740416210286
2025-06-27,287.11,285.81,288.7,285.04,17870000.0,-0.005699999999999999,289.4327777777778,44.66940030753464
2025-06-26,288.75,284.7,289.41,284.47,8940000.0,0.0165,289.39684210526315,48.536523288368564
2025-06-25,284.06,281.5,284.28,280.91,6830000.0,0.01,289.13,47.79448621553886
2025-06-24,281.26,280.21,282.71,279.51,9270000.0,0.010700000000000001,288.35499999999996,43.69787943769356
2025-06-23,278.27,275.06,278.55,272.11,8090000.0,0.011899999999999999,287.697,37.81826676010277
2025-06-20,275.0,275.57,277.3,273.81,13970000.0,0.0038,286.8985,36.595840867992756
2025-06-18,273.96,270.0,277.72,269.72,9590000.0,0.0165,286.033,33.811149032992034
2025-06-17,269.52,268.17,270.59,267.8,6740000.0,-0.0031,285.014,34.271217712177105
2025-06-16,270.36,267.0,271.73,266.85,8570000.0,0.0204,284.24100000000004,35.828388863532695
2025-06-13,264.95,265.08,267.02,262.71,7100000.0,-0.0123,283.161,16.258741258741225
2025-06-12,268.24,266.86,268.29,265.14,6620000.0,0.0003,282.13800000000003,14.68193384223926
2025-06-11,268.15,268.68,269.62,265.79,7430000.0,-0.0017000000000000001,281.2025,16.304040689460365
2025-06-10,268.6,265.88,268.9,265.85,7540000.0,0.006999999999999999,280.223,18.160583941605992
2025-06-09,266.74,266.0,267.9,263.35,8289999.999999999,0.0038,279.402,17.467003650660075
2025-06-06,265.73,264.33,266.65,264.26,7740000.0,0.0144,278.54949999999997,18.391484328799677
2025-06-05,261.95,264.74,264.74,260.31,8180000.0,-0.0086,277.0485,12.736373748609765
2025-06-04,264.22,265.92,267.12,264.18,5920000.0,-0.0077,275.45950000000005,20.42337507453813
2025-06-03,266.27,263.73,266.58,262.88,7000000.0,0.0060999999999999995,274.173,27.14242146996048
2025-06-02,264.66,263.02,265.03,261.9,6010000.0,0.0025,272.8855,28.33492518306288
2025-05-30,264.0,263.45,265.33,262.73,10980000.0,-0.0014000000000000002,271.59000000000003,30.9027777777779
2025-05-29,264.37,264.8,265.41,262.53,5080000.0,0.0033,270.45300000000003,32.9541414859582
2025-05-28,263.49,266.24,266.72,262.9,5540000.0,-0.0068000000000000005,269.19,37.72893772893787
2025-05-27,265.29,262.04,265.3,261.99,7510000.0,0.0176,268.25149999999996,40.070505287896665
2025-05-23,260.71,256.81,261.99,256.0,6670000.0,0.0002,267.22400000000005,41.41700404858303
2025-05-22,260.67,259.44,262.3,258.87,6510000.0,-0.0014000000000000002,266.344,32.354312354312455
2025-05-21,261.04,264.35,265.65,260.73,7460000.0,-0.0175,265.646,33.640128854118885
2025-05-20,265.68,262.52,266.66,262.3,8440000.0,0.003,265.232,44.36728395061726
2025-05-19,264.88,265.55,268.32,261.93,12150000.0,-0.01,265.0,46.259050683829415
2025-05-16,267.56,267.5,268.46,264.71,8930000.0,0.0003,264.86,53.448925744440224
2025-05-15,267.49,266.97,269.52,264.76,9210000.0,0.006999999999999999,264.98699999999997,62.13847502191065
2025-05-14,265.64,263.0,266.64,262.29,8640000.0,0.01,264.857,53.16964285714277
2025-05-13,263.01,261.03,263.67,260.39,8590000.0,0.011399999999999999,264.6,42.90687554395129
2025-05-12,260.05,262.9,263.6,258.7,9600000.0,0.0275,264.1725,40.52609946568022
2025-05-09,253.08,254.5,255.51,252.34,5090000.0,-0.0015,263.4895,32.18015665796348
2025-05-08,253.47,251.57,255.88,251.55,8320000.0,0.016399999999999998,262.87649999999996,32.22439660795824
2025-05-07,249.39,249.85,252.45,248.83,8720000.0,0.0006,262.24850000000004,29.178972238629626
2025-05-06,249.25,250.0,252.65,249.0,6370000.0,-0.0131,261.5,25.093167701863308
