Date,Close,Open,High,Low,Volume,Daily_Return,SMA_20,RSI_14
2025-07-23,25.36,25.38,25.53,25.25,42070000.0,0.0088,25.36,
2025-07-22,25.14,24.37,25.14,24.34,48090000.0,0.0363,25.25,0.0
2025-07-21,24.26,24.59,24.65,24.25,33660000.0,-0.0086,24.92,0.0
2025-07-18,24.47,24.71,24.78,24.39,36310000.0,-0.0045000000000000005,24.8075,16.030534351144894
2025-07-17,24.58,24.49,24.78,24.45,47390000.0,-0.0012,24.762,22.53521126760549
2025-07-16,24.61,24.67,24.96,24.53,44220000.0,0.0,24.736666666666665,24.137931034482676
2025-07-15,24.61,25.33,25.44,24.53,54460000.0,-0.0292,24.71857142857143,24.137931034482676
2025-07-14,25.35,25.58,25.63,25.34,25920000.0,-0.011699999999999999,24.7975,49.77168949771694
2025-07-11,25.65,25.65,25.72,25.42,34860000.0,-0.005,24.892222222222223,55.82329317269076
2025-07-10,25.78,25.58,26.05,25.53,39500000.0,0.0086,24.981,58.01526717557256
2025-07-09,25.56,25.69,25.84,25.34,38360000.0,-0.0023,25.033636363636365,53.52112676056337
2025-07-08,25.62,25.24,25.96,25.21,51280000.0,0.0151,25.0825,54.48275862068968
2025-07-07,25.24,25.36,25.53,25.14,34910000.0,-0.0055000000000000005,25.094615384615388,48.17073170731705
2025-07-03,25.38,25.35,25.52,25.22,27100000.0,0.0024,25.115000000000002,50.2923976608187
2025-07-02,25.32,25.13,25.36,25.02,36770000.0,0.011200000000000002,25.128666666666668,49.42528735632185
2025-07-01,25.04,24.27,25.35,24.26,59260000.0,0.033,25.123124999999998,48.587570621468906
2025-06-30,24.24,24.21,24.38,24.12,44730000.0,0.0021,25.071176470588235,49.71098265895949
2025-06-27,24.19,24.35,24.42,24.08,39530000.0,-0.0021,25.022222222222222,45.7575757575758
2025-06-26,24.24,24.32,24.43,24.16,31840000.0,-0.0008,24.981052631578947,44.753086419753096
2025-06-25,24.26,24.21,24.37,24.07,25600000.0,-0.0021,24.945,44.58204334365329
2025-06-24,24.31,24.14,24.4,24.11,34400000.0,0.011699999999999999,24.8925,45.42682926829268
2025-06-23,24.03,23.87,24.08,23.76,31960000.0,0.0025,24.837,26.595744680851055
2025-06-20,23.97,24.0,24.09,23.77,63100000.0,0.0038,24.822499999999998,17.44186046511635
2025-06-18,23.88,23.96,24.08,23.77,37080000.0,-0.005,24.793,12.598425196850386
2025-06-17,24.0,24.27,24.32,23.91,40410000.0,-0.016399999999999998,24.764,18.03278688524594
2025-06-16,24.4,24.5,24.59,24.28,35100000.0,-0.005699999999999999,24.7535,28.057553956834468
2025-06-13,24.54,24.78,24.95,24.46,46370000.0,-0.0121,24.75,36.220472440944874
2025-06-12,24.84,24.53,24.88,24.53,42470000.0,0.0147,24.7245,40.0
2025-06-11,24.48,24.33,24.69,24.32,38560000.0,0.0074,24.666,35.999999999999986
2025-06-10,24.3,23.97,24.42,23.96,40440000.0,0.0138,24.592,37.24137931034483
2025-06-09,23.97,23.44,24.14,23.42,42540000.0,0.026600000000000002,24.5125,44.44444444444444
2025-06-06,23.35,23.27,23.58,23.25,30430000.0,0.009899999999999999,24.398999999999997,35.999999999999986
2025-06-05,23.12,23.44,23.44,23.08,33200000.000000004,-0.0115,24.293,32.38993710691828
2025-06-04,23.39,23.41,23.54,23.35,24500000.0,0.0017000000000000001,24.1935,37.31778425655974
2025-06-03,23.35,23.38,23.54,23.06,37890000.0,-0.004699999999999999,24.095,35.96491228070178
2025-06-02,23.46,23.54,23.56,23.22,30440000.0,-0.0013,24.016000000000002,41.230769230769226
2025-05-30,23.49,23.48,23.62,23.16,56620000.0,0.0017000000000000001,23.9785,42.54658385093166
2025-05-29,23.45,23.33,23.45,23.16,26210000.0,0.0116,23.9415,43.21766561514195
2025-05-28,23.18,23.61,23.64,23.11,36740000.0,-0.0182,23.8885,37.65060240963852
2025-05-27,23.61,23.55,23.66,23.36,36160000.0,0.0124,23.856,38.208955223880594
2025-05-23,23.32,22.95,23.39,22.88,35410000.0,0.012199999999999999,23.8065,32.571428571428555
2025-05-22,23.04,23.04,23.16,22.81,38600000.0,0.0,23.756999999999998,24.13793103448269
2025-05-21,23.04,23.47,23.48,23.04,42980000.0,-0.0204,23.710500000000003,26.92307692307685
2025-05-20,23.52,23.17,23.7,23.16,57050000.0,0.0226,23.692500000000003,38.59649122807014
2025-05-19,23.0,22.74,23.03,22.64,31510000.0,0.0074,23.642500000000002,36.56509695290857
2025-05-16,22.83,22.65,22.84,22.45,37790000.0,0.0102,23.564,41.77215189873412
2025-05-15,22.6,22.2,22.6,22.09,51800000.0,0.0263,23.467000000000002,41.772151898734165
2025-05-14,22.02,22.86,22.9,21.97,59390000.0,-0.037200000000000004,23.326,30.259365994236262
2025-05-13,22.87,22.9,22.98,22.49,41190000.0,-0.0095,23.2455,44.392523364485974
2025-05-12,23.09,22.23,23.15,22.18,77480000.0,0.0364,23.185,45.785876993166276
2025-05-09,22.28,22.51,22.6,22.26,39060000.0,-0.03,23.1005,38.297872340425556
2025-05-08,22.97,22.82,23.09,22.51,55670000.0,0.0079,23.0815,45.87628865979381
2025-05-07,22.79,22.99,23.08,22.72,48370000.0,-0.0039000000000000003,23.065,46.59685863874345
2025-05-06,22.88,23.83,23.89,22.84,60870000.0,-0.0415,23.039499999999997,43.22820037105751
2025-05-05,23.87,24.2,24.25,23.85,40810000.0,-0.013600000000000001,23.0655,54.515599343185556
2025-05-02,24.2,24.27,24.3,23.97,41690000.0,0.0113,23.1025,59.446254071661244
2025-05-01,23.93,24.3,24.33,23.8,46890000.0,-0.0197,23.1245,56.94227769110765
2025-04-30,24.41,24.19,24.44,23.98,53940000.0,0.026099999999999998,23.1725,56.94227769110765
2025-04-29,23.79,22.83,24.12,22.46,98540000.0,0.0321,23.203,56.067588325652835
2025-04-28,23.05,23.03,23.29,22.9,55890000.0,0.005699999999999999,23.175,51.5536723163842
2025-04-25,22.92,22.77,23.1,22.48,35850000.0,0.0060999999999999995,23.155,52.29226361031519
2025-04-24,22.78,22.4,22.85,22.23,35010000.0,0.0174,23.142,55.810397553516836
2025-04-23,22.39,22.78,23.06,22.24,50780000.0,-0.0062,23.1095,46.052631578947356
2025-04-22,22.53,22.17,22.55,22.15,36050000.0,0.0222,23.06,45.33333333333334
2025-04-21,22.04,22.13,22.17,21.87,32020000.000000004,-0.0045000000000000005,23.012,47.887323943661954
2025-04-17,22.14,22.15,22.55,22.1,54070000.0,0.0045000000000000005,22.9775,41.846758349705325
2025-04-16,22.04,22.49,22.68,21.95,37640000.0,-0.0178,22.9495,42.51497005988024
2025-04-15,22.44,22.17,22.93,22.13,51810000.0,0.014499999999999999,22.9705,45.86466165413537
2025-04-14,22.12,22.08,22.23,21.87,61900000.0,0.0096,22.933,31.18279569892475
2025-04-11,21.91,21.59,22.0,21.28,55080000.0,0.0148,22.874000000000002,24.72406181015458
2025-04-10,21.59,22.26,22.27,21.08,72960000.0,-0.04,22.8395,24.45414847161578
2025-04-09,22.49,21.11,22.54,20.92,95950000.0,0.0298,22.8155,30.80000000000001
2025-04-08,21.84,22.9,22.99,21.44,72410000.0,-0.0349,22.768,30.616302186878755
2025-04-07,22.63,22.14,23.16,21.75,86110000.0,-0.0148,22.7555,45.86614173228345
2025-04-04,22.97,23.94,24.1,22.95,80000000.0,-0.054299999999999994,22.7105,50.47258979206046
2025-04-03,24.29,24.74,24.87,24.28,53500000.0,-0.0166,22.715,61.669242658423464
2025-04-02,24.7,24.5,24.74,24.31,41960000.0,0.006500000000000001,22.7535,67.7966101694915
2025-04-01,24.54,25.29,25.34,24.52,54440000.0,-0.0316,22.759999999999998,65.43778801843315
2025-03-31,25.34,24.8,25.42,24.61,53500000.0,0.0052,22.8375,74.19354838709677
2025-03-28,25.21,25.03,25.22,24.81,32350000.0,0.008,22.945500000000003,72.4087591240876
2025-03-27,25.01,25.2,25.23,24.83,51300000.0,-0.0079,23.05,71.36690647482015
2025-03-26,25.21,25.52,25.65,25.13,49580000.0,-0.013300000000000001,23.1715,70.51851851851852
2025-03-25,25.55,26.16,26.2,25.51,47610000.0,-0.0226,23.3295,75.33234859675039
2025-03-24,26.14,26.1,26.22,25.89,37940000.0,-0.0053,23.509999999999998,79.5804195804196
2025-03-21,26.28,26.13,26.52,26.01,350000000.0,0.0034000000000000002,23.722,83.64418938307034
2025-03-20,26.19,26.25,26.3,26.01,35380000.0,-0.0008,23.924500000000002,80.03246753246758
2025-03-19,26.21,26.33,26.5,26.08,42520000.0,-0.0038,24.133,89.51175406871612
2025-03-18,26.31,26.21,26.4,26.1,32960000.0,0.01,24.3265,88.01652892561987
2025-03-17,26.05,25.74,26.15,25.58,32680000.0,0.0128,24.523,82.35294117647064
2025-03-14,25.72,25.62,25.76,25.5,30300000.0,0.004699999999999999,24.7135,68.96551724137933
2025-03-13,25.6,25.76,26.07,25.53,36720000.0,-0.0043,24.913999999999998,62.931034482758676
2025-03-12,25.71,25.93,25.97,25.5,37330000.0,-0.0108,25.075,67.05539358600589
2025-03-11,25.99,26.57,26.62,25.87,44840000.0,-0.024399999999999998,25.2825,61.1683848797251
2025-03-10,26.64,26.64,27.24,26.54,53010000.0,-0.0034000000000000002,25.483,70.84548104956272
2025-03-07,26.73,26.4,26.89,26.18,54340000.0,0.0187,25.671000000000003,75.90361445783137
2025-03-06,26.24,25.93,26.46,25.9,47000000.0,0.0116,25.7685,64.26592797783931
2025-03-05,25.94,25.7,26.18,25.66,37060000.0,0.0074,25.8305,55.4621848739496
2025-03-04,25.75,26.25,26.31,25.67,51320000.0,-0.019,25.891000000000002,43.84858044164036
2025-03-03,26.25,26.37,26.9,25.97,54050000.0,-0.0068000000000000005,25.936500000000002,49.57507082152972
2025-02-28,26.43,26.06,26.49,25.91,51530000.0,0.0126,25.997500000000002,53.31491712707181
2025-02-27,26.1,26.28,26.5,26.01,28270000.0,-0.0121,26.052,48.60050890585242
2025-02-26,26.42,26.68,26.78,26.35,30100000.0,-0.012,26.1125,51.32530120481932
2025-02-25,26.74,26.72,27.03,26.54,43560000.0,0.0034000000000000002,26.172000000000004,58.194774346793324
2025-02-24,26.65,26.4,26.74,25.88,43820000.0,0.013300000000000001,26.1975,61.712846347607076
