date,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
1970-01-01 00:00:00.000000000,2024-12-31,USD,213396000000,50358000000,1043000000,1043000000,10851000000,14777000000,163038000000,20682000000,None,55412000000,55412000000,68527000000,None,2227000000,19434000000,4253000000,None,124899000000,42995000000,5633000000,None,None,6946000000,81904000000,None,56703000000,6946000000,None,63649000000,28905000000,14151000000,88203000000,None,116725000000,480000000,5700000000
1970-01-01 00:00:00.000000001,2023-12-31,USD,226501000000,43333000000,2853000000,2853000000,10189000000,11177000000,183168000000,18940000000,None,64900000000,64900000000,67783000000,None,15368000000,9837000000,9277000000,None,137213000000,47794000000,6710000000,None,None,10877000000,89419000000,None,60499000000,10346000000,None,75041000000,27507000000,16540000000,89014000000,-114487000000,118353000000,478000000,5709000000
1970-01-01 00:00:00.000000002,2022-12-31,USD,197206000000,51259000000,416000000,416000000,8981000000,14529000000,145944000000,16274000000,None,43370000000,43370000000,51375000000,None,15069000000,22316000000,5017000000,None,101289000000,42138000000,6809000000,None,None,2945000000,59151000000,None,32884000000,2945000000,None,35829000000,29864000000,25242000000,95661000000,-113969000000,125656000000,476000000,5733000000
1970-01-01 00:00:00.000000003,2021-12-31,USD,181477000000,59693000000,1944000000,1944000000,9059000000,15745000000,121782000000,14882000000,None,25146000000,25146000000,49208000000,None,21526000000,29125000000,3820000000,None,104014000000,42671000000,5578000000,None,None,2241000000,61343000000,None,36195000000,2241000000,None,38436000000,31785000000,9744000000,77201000000,-111361000000,103394000000,473000000,5708000000
1970-01-01 00:00:00.000000004,2020-12-31,USD,154229000000,35067000000,1784000000,1784000000,8046000000,11194000000,119163000000,13900000000,None,28472000000,28472000000,49577000000,None,20262000000,10437000000,3439000000,None,90756000000,25920000000,4309000000,None,None,2703000000,64836000000,None,37133000000,2703000000,None,39836000000,12639000000,23640000000,63238000000,-110988000000,96770000000,470000000,5632000000
1970-01-01 00:00:00.000000005,2019-12-31,USD,167488000000,32803000000,1305000000,1305000000,8283000000,12068000000,134685000000,13967000000,None,35369000000,35369000000,58653000000,None,20147000000,8525000000,2601000000,None,104042000000,37304000000,4220000000,None,None,16190000000,66738000000,None,35955000000,16195000000,None,52145000000,11090000000,25205000000,63143000000,-110801000000,97670000000,468000000,5675000000
1970-01-01 00:00:00.000000006,2018-12-31,USD,159422000000,49926000000,1139000000,1139000000,7508000000,11399000000,109497000000,13385000000,None,35211000000,35211000000,53411000000,None,2767000000,17694000000,2461000000,None,95664000000,31858000000,4674000000,None,None,8836000000,63806000000,None,32909000000,8831000000,None,41745000000,12639000000,27197000000,63407000000,-101610000000,89554000000,467000000,5977000000
1970-01-01 00:00:00.000000007,2017-12-31,USD,171797000000,41141000000,1342000000,1342000000,7578000000,11271000000,130654000000,13865000000,None,48740000000,48740000000,55952000000,None,7015000000,18650000000,2288000000,None,100141000000,30427000000,4656000000,None,None,9940000000,69714000000,None,33538000000,9954000000,None,43478000000,11129000000,32276000000,71308000000,-89425000000,85291000000,464000000,1211600000
1970-01-01 00:00:00.000000008,2016-12-31,USD,171615000000,38949000000,2595000000,2595000000,6783000000,11266000000,132666000000,13318000000,None,52648000000,52648000000,54449000000,None,7116000000,15255000000,2249000000,None,111775000000,31115000000,4536000000,None,None,10688000000,80660000000,None,31398000000,10688000000,None,42086000000,11023000000,18509000000,59544000000,-84364000000,71774000000,461000000,1231800000
1970-01-01 00:00:00.000000009,2015-12-31,USD,167460000000,43804000000,3641000000,3641000000,7513000000,10838000000,123658000000,13766000000,None,40358000000,40358000000,48242000000,None,15999000000,19649000000,2163000000,None,102462000000,29399000000,3620000000,None,None,10160000000,73063000000,None,28818000000,3724000000,None,38978000000,10990000000,17368000000,64720000000,-79252000000,71993000000,459000000,1251400000
