,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Yahoo Entertainment'}",Zacks Equity Research,Are You a Growth Investor? This 1 Stock Could Be the Perfect Pick,The Zacks Style Scores offers investors a way to easily find top-rated stocks based on their investing style. Here's why you should take advantage.,https://finance.yahoo.com/news/growth-investor-1-stock-could-134502843.html,https://media.zenfs.com/en/zacks.com/e8e4b0344809eaac6d73c9fd25fd180a,2025-07-11T13:45:02Z,"For new and old investors, taking full advantage of the stock market and investing with confidence are common goals.
Achieving those goals is made easier with the Zacks Style Scores, a unique set of… [+1677 chars]"
1,"{'id': None, 'name': 'Yahoo Entertainment'}",Yahoo Finance,Walmart ramps up e-commerce to rival Amazon's Prime Day event,"Walmart (WMT) is trying to outpace Amazon (AMZN) this year with ""Walmart Deals Week,"" a six-day savings event (two days longer than Amazon's Prime Day sales ...",https://finance.yahoo.com/video/walmart-ramps-e-commerce-rival-202751701.html,https://s.yimg.com/ny/api/res/1.2/HlPUuiFP1AuhmWht0nWZFw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzY-/https://s.yimg.com/os/creatr-uploaded-images/2025-07/349b1cb0-5c38-11f0-8fce-b4d5c1627e54,2025-07-08T20:27:51Z,"Amazon's Prime Day deals will take front and center stage for most shoppers this week, as it extends its signature shopping period to four days for the first time. But this year, as in recent years, … [+3841 chars]"
2,"{'id': None, 'name': 'MarketWatch'}",Quentin Fottrell,I’m saving 100% on Amazon Prime Day — and you can too,Here’s the not-so-dirty secret behind the four-day shopping lollapalooza.,https://www.marketwatch.com/story/im-saving-100-on-amazon-prime-day-and-you-can-too-3b56ef74,https://images.mktw.net/im-88436405/social,2025-07-08T09:34:00Z,"After the lavish, three-day 
multimillion-dollar wedding in Venice of Amazon AMZN founder Jeff Bezos to former TV reporter Lauren Sanchez, which drew ire and scorn from cash-strapped Americans, laun… [+344 chars]"
3,"{'id': None, 'name': 'Yahoo Entertainment'}",Josh Lipton,"Oracle soars, Amazon sinks, Home Depot's $4.3B acquisition",Market Domination co-host Josh Lipton tracks today's top moving stocks and biggest market stories in this Market Minute. Oracle (ORCL) shares are surging...,https://finance.yahoo.com/video/oracle-soars-amazon-sinks-home-182451045.html,https://s.yimg.com/ny/api/res/1.2/xoZN2tV5OSHtjLGn2XCkcA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/os/creatr-uploaded-images/2025-06/06254860-55df-11f0-bfcf-45a7778ddc35,2025-06-30T18:24:51Z,"Market Domination co-host Josh Lipton tracks today's top moving stocks and biggest market stories in this Market Minute.
Oracle (ORCL) shares are surging after landing a massive $30 billion cloud co… [+1380 chars]"
4,"{'id': None, 'name': 'Forbes'}","Trefis Team, Contributor, 
 Trefis Team, Contributor
 https://www.forbes.com/sites/greatspeculations/people/trefis/",AMZN Stock To $400?,But what could propel the stock to double from current levels over the next few years?,https://www.forbes.com/sites/greatspeculations/2025/06/25/amzn-stock-to-400/,https://imageio.forbes.com/specials-images/imageserve/685b8efe38e324f97498e41c/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2025-06-25T13:28:37Z,"CHONGQING, CHINA - APRIL 26: In this photo illustration, the logo of Amazon.com, Inc. is displayed ... More on a smartphone screen, with the company's iconic smile branding visible in the background,… [+7567 chars]"
5,"{'id': None, 'name': 'Github.com'}",osbuild,bootc-image-builder: Build your entire OS from a Containerfile,A container for deploying bootable container images. - osbuild/bootc-image-builder,https://github.com/osbuild/bootc-image-builder,https://opengraph.githubassets.com/91d80767d62375ed1d15a91d460647b6355d3d758af3718d7f9e008280f337e5/osbuild/bootc-image-builder,2025-06-24T15:01:07Z,"A container to create disk images from bootc container inputs,
especially oriented towards Fedora/CentOS bootc or
derivatives.
Have podman installed on your system. Either through your systems pac… [+19148 chars]"
6,"{'id': None, 'name': 'Barchart.com'}",Wajeeh Khan,"Dear Amazon Stock Fans, Mark Your Calendars for July 8",All eyes are on Amazon stock as the company’s Prime Day event kicks off. Bank of America sees upside in AMZN shares to $248.,https://www.barchart.com/story/news/33265033/dear-amazon-stock-fans-mark-your-calendars-for-july-8,https://s.yimg.com/ny/api/res/1.2/MbpbccWdhXNcDy2RGmCtNQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD05MDA-/https://media.zenfs.com/en/barchart_com_477/6c458cf3fdd65b21366485ca0245745a,2025-07-08T11:00:03Z,"amazon holiday delivery boxes by Cineberg via iStock
Amazon (AMZN) shares remain in focus ahead of the companys longest-ever Prime Day event, set to kick off today (July 8) and run through Friday (J… [+2052 chars]"
7,"{'id': None, 'name': 'Yahoo Entertainment'}",Ricardo Pillai,"Amazon.com, Inc. (AMZN): A Bull Case Theory","We came across a bullish thesis on Amazon.com, Inc. on Disruptive Analytics’ Substack by Magnus Ofstad. In this article, we will summarize the bulls’ thesis ...",https://finance.yahoo.com/news/amazon-com-inc-amzn-bull-164557092.html,https://media.zenfs.com/en/insidermonkey.com/29d5df0573f93ed5d198b486ad7e285b,2025-07-07T16:45:57Z,"We came across a bullish thesis on Amazon.com, Inc. on Disruptive Analytics Substack by Magnus Ofstad. In this article, we will summarize the bulls thesis on AMZN. Amazon.com, Inc.'s share was tradin… [+3099 chars]"
8,"{'id': None, 'name': 'TheStreet'}",Rob Lenihan,Microsoft analysts reboot stock price targets ahead of Q4 earnings,This is what could happen next to Microsoft shares.,https://www.thestreet.com/investing/stocks/microsoft-analysts-reboot-stock-price-targets-ahead-of-q4-earnings,https://media.zenfs.com/en/thestreet_881/ba0f95eb88d629fd80813d89cdb2b04b,2025-07-16T21:57:00Z,"Microsoft analysts reboot stock price targets ahead of Q4 earnings originally appeared on TheStreet.
Hey, good news, Microsoft  (MSFT) , you made the list.
The software giant got some high praise i… [+4971 chars]"
9,"{'id': None, 'name': 'Yahoo Entertainment'}",Ghazal Ahmed,"Cantor Fitzgerald Stays Bullish on Amazon (AMZN), Lifts Target to $260 on Retail and AWS Growth","Amazon.com, Inc. (NASDAQ:AMZN) is one of the AI Stocks Investors Are Watching Closely. On July 16, Cantor Fitzgerald analyst Deepak Mathivanan raised the...",https://finance.yahoo.com/news/cantor-fitzgerald-stays-bullish-amazon-141736890.html,https://s.yimg.com/ny/api/res/1.2/UUrmeLYv9d.rv0kB2kTHEQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02Nzc-/https://media.zenfs.com/en/insidermonkey.com/d2404fc756dc449f1bbfb4044bddd352,2025-07-19T14:17:36Z,"Amazon.com, Inc. (NASDAQ:AMZN) is one of the AI Stocks Investors Are Watching Closely.  On July 16, Cantor Fitzgerald analyst Deepak Mathivanan raised the price target on the stock to $260.00 (from $… [+1966 chars]"
