,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Yahoo Entertainment'}",,JPMorgan Chase (JPM) Announces Plan to Increase Dividends,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_425577bb-9b83-4d0f-b889-682eb2ee51f8,,2025-07-09T05:03:11Z,"If you click 'Accept all', we and our partners, including 236 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]"
1,"{'id': None, 'name': 'Biztoc.com'}",pymnts.com,"JPMorgan Earnings: Consumers Are ‘Fine,’ Dimon Backs JPM Coin","JPMorgan released second-quarter earnings results Tuesday (July 15) that spotlighted a thus far negligible impact from tariffs.
 
 [contact-form-7]
 
 
Chief Financial Officer Jeremy Barnum told analysts during a conference call that consumers and commercial …",https://biztoc.com/x/a9fd8b4e4e3ce1a1,https://biztoc.com/cdn/950/og.png,2025-07-15T17:48:38Z,"JPMorgan released second-quarter earnings results Tuesday (July 15) that spotlighted a thus far negligible impact from tariffs.
[contact-form-7]
Chief Financial Officer Jeremy Barnum told analysts … [+140 chars]"
2,"{'id': None, 'name': 'Yahoo Entertainment'}",Ramish Cheema,"JPMorgan Chase & Co. (JPM) Is “Doing Terrifically,” Says Jim Cramer",We recently published Jim Cramer Reveals His Trading Strategy For H2 2025 & Discusses These 16 Stockse. JPMorgan Chase & Co. (NYSE:JPM) is one of the stocks ...,https://finance.yahoo.com/news/jpmorgan-chase-co-jpm-doing-003540141.html,https://s.yimg.com/ny/api/res/1.2/0BwlrHHssSozZHQNtMcVwA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/f82652d0e7c350dea8b9d7c85e94e30e,2025-07-03T00:35:40Z,"We recently published Jim Cramer Reveals His Trading Strategy For H2 2025 &amp; Discusses These 16 Stockse. JPMorgan Chase &amp; Co. (NYSE:JPM) is one of the stocks Jim Cramer recently discussed.
JP… [+2138 chars]"
3,"{'id': None, 'name': 'Biztoc.com'}",zerohedge.com,"JPM CEO Jamie Dimon Unloads On Democrats: ""Idiots"" Obsessed With Failed Wokeism","JPM CEO Jamie Dimon Unloads On Democrats: ""Idiots"" Obsessed With Failed Wokeism 
 
The inconvenient truth for Democrats is that there is still no bottom in sight, as the party of leftist radicals doubles, triples, and quadruples down on diversity, equity, inc…",https://biztoc.com/x/f15b6f98fa822e67,https://biztoc.com/cdn/f15b6f98fa822e67_s.webp,2025-07-11T18:46:34Z,"JPM CEO Jamie Dimon Unloads On Democrats: ""Idiots"" Obsessed With Failed Wokeism 
The inconvenient truth for Democrats is that there is still no bottom in sight, as the party of leftist radicals doub… [+146 chars]"
4,"{'id': None, 'name': 'Biztoc.com'}",finance.yahoo.com,Stocks endured a wild ride in the second quarter. It was great news for big banks,"In This Article:
The second quarter of 2025 was a great time to be a stock trader at one of the country's major banks.
The equities trading desks of all five of the ""bulge bracket"" banks — JPMorgan Chase (JPM), Goldman Sachs (GS), Morgan Stanley (MS), Citigro…",https://biztoc.com/x/57ce394f03b2de70,https://biztoc.com/cdn/57ce394f03b2de70_s.webp,2025-07-16T14:32:34Z,"In This Article:The second quarter of 2025 was a great time to be a stock trader at one of the country's major banks.The equities trading desks of all five of the ""bulge bracket"" banks JPMorgan Chase… [+146 chars]"
5,"{'id': None, 'name': 'Barchart.com'}",Gavin McMaster,Option Volatility And Earnings Report For July 14 - 18,"Earnings season kicks into gear this week with banks and tech stocks taking center stage. This week we have NFLX, BAC, TSM, JPM, WFC, C, MS, GS, JNJ and ASML...",https://www.barchart.com/story/news/33381847/option-volatility-and-earnings-report-for-july-14-18,https://s.yimg.com/ny/api/res/1.2/Y5S4_.JBFqTOum5x_PZ48g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/barchart_com_477/0398fe1951b0ff436207f7f19cc21824,2025-07-14T11:00:02Z,"Page of newspaper with words options trading by Vitalii Vodolazskyi via Shutterstock
Earnings season kicks into gear this week with banks and tech stocks taking center stage. This week we have Netfl… [+3510 chars]"
6,"{'id': None, 'name': 'Forbes'}","Bill Stone, Contributor, 
 Bill Stone, Contributor
 https://www.forbes.com/sites/bill_stone/",Second Quarter Earnings Season Preview,"Earnings season begins this week. With the tariff overhang and higher expectations for coming quarters, forward earnings guidance from management will be crucial.",https://www.forbes.com/sites/bill_stone/2025/07/13/second-quarter-earnings-season-preview/,https://imageio.forbes.com/specials-images/imageserve/652af4034109ce616a111b0b/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2025-07-13T12:23:53Z,"The second-quarter earnings season begins this week, with 39 S&amp;P 500 companies scheduled to report. ... More This week has a heavy emphasis on banks including: JPMorgan Chase (JPM), Wells Fargo (… [+4987 chars]"
7,"{'id': None, 'name': 'Yahoo Entertainment'}",Ramish Cheema,"JPMorgan Chase & Co. (JPM): It’s The Best Of The Bunch Right Now, Says Jim Cramer",We recently published 10 Stocks On Jim Cramer’s Radar As He Says Trump Has Been Good For Growth. JPMorgan Chase & Co. (NYSE:JPM) is one of the stocks Jim...,https://finance.yahoo.com/news/jpmorgan-chase-co-jpm-best-102703960.html,https://s.yimg.com/ny/api/res/1.2/0BwlrHHssSozZHQNtMcVwA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/f82652d0e7c350dea8b9d7c85e94e30e,2025-07-18T10:27:03Z,"We recently published 10 Stocks On Jim Cramers Radar As He Says Trump Has Been Good For Growth. JPMorgan Chase &amp; Co. (NYSE:JPM) is one of the stocks Jim Cramer recently discussed.
JPMorgan Chase… [+1875 chars]"
8,"{'id': None, 'name': 'Yahoo Entertainment'}",,3 Reasons JPM Belongs in Your Dividend Portfolio,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_0972ca9b-07c6-44b1-baba-6a159a1aed55,,2025-06-28T06:18:23Z,"If you click 'Accept all', we and our partners, including 235 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]"
9,"{'id': None, 'name': 'Yahoo Entertainment'}",,Bond yields and U.S. dollar to continue moving lower: JPM,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_da4d38b7-914a-43ce-a014-bc95f29ccf02,,2025-06-30T13:23:10Z,"If you click 'Accept all', we and our partners, including 235 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]"
10,"{'id': None, 'name': 'Biztoc.com'}",bloomberg.com,Wall Street Bank Stocks’ Furious Rally Spurs HSBC Downgrades,,https://biztoc.com/x/23dfdfc44ac09363,https://biztoc.com/cdn/23dfdfc44ac09363_s.webp,2025-07-08T13:30:15Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why did Tesla stock plunge after Musk's political move? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How will Trump's … [+800 chars]"
11,"{'id': None, 'name': 'Yahoo Entertainment'}",Yahoo Finance,Earnings live: Second quarter earnings season kicks off with big banks leading the way,"Second quarter earnings season kicked off on Tuesday, with expectations that profits grew at the slowest rate in over two years during the quarter.",https://finance.yahoo.com/news/live/earnings-live-second-quarter-earnings-season-kicks-off-with-big-banks-leading-the-way-205852940.html,https://s.yimg.com/ny/api/res/1.2/n73UgQmtRa25MY1vPX3ZCA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2025-03/c7bb9a00-0036-11f0-b5cb-e106bbb3fe5e,2025-07-14T20:58:52Z,"The second quarter earnings season is ramping up.
On Tuesday, quarterly reports from major US banks, including JPMorgan (JPM), Wells Fargo (WFC), and Citigroup (C), began trickling in to mark the un… [+4943 chars]"
12,"{'id': None, 'name': 'CoinDesk'}",Krisztian Sandor,Jamie Dimon Says JPMorgan to Get More Involved With Stablecoins,"Speaking on his bank's second quarter earnings call, the famous crypto skeptic acknowledged that stablecoins are ""real.""",https://www.coindesk.com/business/2025/07/15/jamie-dimon-says-jpmorgan-to-get-more-involved-with-stablecoins,https://s.yimg.com/ny/api/res/1.2/9..M1Nv38BOzNqYDLt2lig--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/coindesk_75/e86d2b81bd0b42981314a74a2ce1abea,2025-07-15T19:06:32Z,"Jamie Dimon, CEO of global banking giant JPMorgan (JPM), said the bank plans to get more involved in stablecoins, even as he questioned their practical utility compared to traditional payments.
""Wer… [+1852 chars]"
13,"{'id': None, 'name': 'Forbes'}","Trefis Team, Contributor, 
 Trefis Team, Contributor
 https://www.forbes.com/sites/greatspeculations/people/trefis/",Buy or Sell JPMorgan Stock Ahead Of Earnings?,"JPMorgan Chase (NYSE:JPM) is expected to announce its earnings on Tuesday, July 15, 2025. Consensus estimates predict earnings will be $4.47 per share, a decrease...",https://www.forbes.com/sites/greatspeculations/2025/07/08/buy-or-sell-jpmorgan-stock-ahead-of-earnings/,https://imageio.forbes.com/specials-images/imageserve/686c924dc827c9ca9de7ff9b/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2025-07-08T10:15:38Z,"JP Morgan headquarters at the heart of Canary Wharf financial district on 30th January 2025 in ... More London, United Kingdom. (photo by Mike Kemp/In Pictures via Getty Images)
In Pictures via Gett… [+3337 chars]"
14,"{'id': None, 'name': 'Starpointllp.com'}",InsidePmts,APIs – More Banks to Follow JPM – Pricing Implications,"The latest is that we can expect most other major banks to roll out their own pricing within the next two weeks. A new pricing floor for data access has been established. Now that other analysts have weighed in, I can recap the pricing framework.  Continue re…",https://blog.starpointllp.com/?p=7095,,2025-07-16T12:37:43Z,"As I stated in my Monday blog, Open Banking is dead in the US. Pay by Bank (and open banking) is effectively dead in the US. This follows JPMorgans move to push out its new API pricing structure to d… [+637 chars]"
15,"{'id': None, 'name': 'Yahoo Entertainment'}",Talha Qureshi,"Bank of America Securities Raised the PT on JPMorgan Chase & Co (JPM), Keeps a Buy Rating","JPMorgan Chase & Co. (NYSE:JPM) is one of the 10 Best and Cheap Stocks to Buy Now. On June 18, Ebrahim Poonawala from Bank of America Securities reiterated a...",https://finance.yahoo.com/news/bank-america-securities-raised-pt-203726468.html,https://s.yimg.com/ny/api/res/1.2/0BwlrHHssSozZHQNtMcVwA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/f82652d0e7c350dea8b9d7c85e94e30e,2025-06-25T20:37:26Z,"JPMorgan Chase &amp; Co. (NYSE:JPM) is one of the 10 Best and Cheap Stocks to Buy Now. On June 18, Ebrahim Poonawala from Bank of America Securities reiterated a Buy rating on JPMorgan Chase &amp; Co… [+1784 chars]"
16,"{'id': None, 'name': 'Bankingdive.com'}",Gabrielle Saulsbery,Judge grants injunction against JPMorgan to Viva Wallet directors,U.K. Judge David Foxton stopped the bank from suing the directors of Viva Wallet in Greece on grounds that the fintech violated its agreement with majority...,https://www.bankingdive.com/news/judge-grants-viva-wallet-directors-suit-injunction-jpmorgan-karonis-greece/753582/,https://s.yimg.com/ny/api/res/1.2/nmL94ZpYl5EObdiRhbZGAw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/banking_dive_717/7bd6f5073a55f18c80265bd10a994149,2025-07-21T12:26:42Z,"This story was originally published on Banking Dive. To receive daily news and insights, subscribe to our free daily Banking Dive newsletter. 
A U.K. judge has ordered JPMorgan Chase to stop suing t… [+2661 chars]"
17,"{'id': None, 'name': 'Etf.com'}",Ron Day,"JPMorgan Leads All in Active Fund Growth, Report Says","- JPM active ETFs and mutual funds have pulled in four times those of all rivals in past year, Bloomberg reports. - Firm has JEPI, world’s largest active ETF...",http://www.etf.com/sections/news/jpmorgan-leads-all-active-fund-growth-report-says?utm_source=yahoo-finance&amp;utm_medium=rss&amp;utm_campaign=yahoo-finance-rss,https://media.zenfs.com/en/indexuniverse.com/7849e1736d71ed59b2e7bd1a66d5e2cf,2025-06-25T12:00:00Z,"JPMorgan Chase &amp; Co. (JPM) tops all rivals in active ETF and mutual fund growth so far this year, pulling in four times the inflows of all other active issuers, including Dimensional Fund Advisor… [+1731 chars]"
18,"{'id': None, 'name': 'CoinDesk'}",Krisztian Sandor,JPMorgan’s Blockchain Arm Kinexys Tests Tokenized Carbon Credits With S&P Global,"The tokenization initiative could lay groundwork for standardized carbon infrastructure underpinned by blockchain tech, the firms said.",https://www.coindesk.com/business/2025/07/02/jpmorgans-blockchain-arm-kinexys-tests-tokenized-carbon-credits-with-sp-global,https://cdn.sanity.io/images/s3y3vcno/production/2a2bf23a52f6f464a1e8bcacb483cb9a170d11e3-1440x810.jpg,2025-07-02T19:16:06Z,"Global bank JPMorgans blockchain arm Kinexys is working with S&amp;P Global Commodity Insights to explore tokenization for managing and issuing carbon credits, the firms said on Wednesday.
The proje… [+1469 chars]"
19,"{'id': None, 'name': 'CoinDesk'}",Will Canny,Bitcoin Network Hashrate Declined in June as Miners Reacted to Recent Heatwave: JPMorgan,"The fall in the monthly average network hashrate was a result of miners curtailing operations in response to the recent heatwave, the report said.",https://www.coindesk.com/markets/2025/07/01/bitcoin-network-hashrate-declined-in-june-as-miners-reacted-to-recent-heatwave-jpmorgan,https://cdn.sanity.io/images/s3y3vcno/production/e06c27f2ab84d210db8d3080ec44277efc8841c6-1035x776.jpg,2025-07-01T11:25:42Z,"The Bitcoin 
 network monthly average hashrate fell about 3% in June, Wall Street bank JPMorgan (JPM) said in a research report Tuesday.The hashrate refers to the total combined computational power … [+1270 chars]"
20,"{'id': None, 'name': 'Investopedia'}",Bill McColl,Big Banks Increase Dividends After Strong Results From Fed Stress Tests,"With the Federal Reserve giving major financial institutions high marks in its annual stress tests, several large banks raised their dividends.",https://www.investopedia.com/big-banks-increase-dividends-after-strong-results-from-fed-stress-tests-11765218,https://s.yimg.com/ny/api/res/1.2/_xx8BBKNLFUDHV5lB3RbDw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/investopedia_245/81e6283329cee4924c5a8ffd0d2dc3f5,2025-07-02T14:49:31Z,"Kevin Carter / Getty Images
 JPMorgan Chase's board approved both a dividend hike plus a new $50 billion share repurchase program
<ul><li>With the Federal Reserve giving major financial institution… [+1286 chars]"
21,"{'id': None, 'name': 'Yahoo Entertainment'}",Syeda Seirut Javed,Jim Cramer Calls JPMorgan the “Big Dog in the Banking Sector”,JPMorgan Chase & Co. (NYSE:JPM) is one of the 22 stocks Jim Cramer recently talked about. Cramer’s opinion was that the stock is cheap compared to the rest...,https://finance.yahoo.com/news/jim-cramer-calls-jpmorgan-big-144351741.html,https://s.yimg.com/ny/api/res/1.2/0BwlrHHssSozZHQNtMcVwA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/f82652d0e7c350dea8b9d7c85e94e30e,2025-07-05T14:43:51Z,"JPMorgan Chase &amp; Co. (NYSE:JPM) is one of the 22 stocks Jim Cramer recently talked about. Cramers opinion was that the stock is cheap compared to the rest of the S&amp;P 500. He said:
The big do… [+1137 chars]"
22,"{'id': None, 'name': 'Yahoo Entertainment'}",Yahoo Finance,Earnings live: Wall Street banks forge ahead to kick off second quarter earnings season,Second quarter earnings season kicked off on Tuesday with banks reporting strong trading and dealmaking activity.,https://finance.yahoo.com/news/live/earnings-live-wall-street-banks-forge-ahead-to-kick-off-second-quarter-earnings-season-205852580.html,https://s.yimg.com/ny/api/res/1.2/n73UgQmtRa25MY1vPX3ZCA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2025-03/c7bb9a00-0036-11f0-b5cb-e106bbb3fe5e,2025-07-14T20:58:52Z,"The second quarter earnings season is underway.
Quarterly reports from major US banks and financials rolled in this week, marking the unofficial start of the second quarter earnings season.
The big… [+10312 chars]"
23,"{'id': None, 'name': 'CoinDesk'}",Will Canny,"Circle Valuation Is 'Outside Our Comfort Zone,' Initiate at Underweight: JPMorgan",The Wall Street bank started coverage of the stablecoin issuer with an underweight rating and a $80 price target.,https://www.coindesk.com/markets/2025/06/30/circle-valuation-is-outside-our-comfort-zone-initiate-at-underweight-jpmorgan,https://cdn.sanity.io/images/s3y3vcno/production/024ae1afdc1672e747814cc0546828b965ecf695-5162x3441.jpg,2025-06-30T14:14:33Z,"Wall Street heavyweight JPMorgan (JPM) initiated coverage of stablecoin issuer Circle (CRCL) with an underweight rating and an underwhelming $80 price target. 
The shares were trading 4.5% higher at… [+1499 chars]"
