,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Yahoo Entertainment'}",,Pfizer (PFE) and Bristol Myers (BMY) Launch Direct-to-Patient Eliquis Program,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_7a821804-44fa-488e-88a0-9154437793c7,,2025-07-18T18:45:58Z,"If you click 'Accept all', we and our partners, including 236 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]"
1,"{'id': None, 'name': 'Barchart.com'}","Mark R. Hake, CFA",Huge Unusual Volume in Pfizer Put Options Signals Investors Bullish Outlook,Large unusual trading volume in Pfizer put options that expire 30 days from now signals investors' bullish outlook on PFE stock. It trades for just over 8...,https://www.barchart.com/story/news/33180273/huge-unusual-volume-in-pfizer-put-options-signals-investors-bullish-outlook,https://s.yimg.com/ny/api/res/1.2/mIeZVe8Z1eFtU5aHd3.G0Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/barchart_com_477/d7302595652f734ec569665a48732fef,2025-07-02T17:30:02Z,"Pfizer Inc_ logo sign-by JHVEPhoto via iStock
Large unusual trading volume in Pfizer, Inc. (PFE) put options that expire 30 days from now signals investors' bullish outlook on PFE stock. It trades f… [+3352 chars]"
2,"{'id': None, 'name': 'Yahoo Entertainment'}",,Morningstar Reduces Moat Rating For Pfizer (PFE) To Narrow,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_64a59c1c-55f1-4725-826a-5f2101f7a4e0,,2025-07-15T16:00:39Z,"If you click 'Accept all', we and our partners, including 236 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]"
3,"{'id': None, 'name': 'Yahoo Entertainment'}",Noor Ul Ain Rehman,Morgan Stanley Maintains a Hold on Pfizer (PFE),"Pfizer Inc. (NYSE:PFE) is one of the best cheap stocks under $50 to buy now. On July 10, Morgan Stanley analyst Terrence Flynn reiterated a hold rating on...",https://finance.yahoo.com/news/morgan-stanley-maintains-hold-pfizer-184658384.html,https://s.yimg.com/ny/api/res/1.2/EpAz_Vcy0hmyqhi5PSK_ZA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/aef4b35e5ea946bf7f4ed347e5c4f487,2025-07-18T18:46:58Z,"Pfizer Inc. (NYSE:PFE) is one of the bestcheap stocks under $50 to buy now. On July 10, Morgan Stanley analyst Terrence Flynn reiterated a hold rating on Pfizer Inc. (NYSE:PFE), setting a $32 price t… [+1173 chars]"
4,"{'id': None, 'name': 'Yahoo Entertainment'}",Vardah Gill,Pfizer’s (PFE) Dividend Safety: Balancing Innovation and Shareholder Returns,Pfizer Inc. (NYSE:PFE) is included among the 14 Best Pharma Dividend Stocks to Buy in 2025. Pfizer Inc. (NYSE:PFE) hasn’t performed well in recent years...,https://finance.yahoo.com/news/pfizer-pfe-dividend-safety-balancing-014331734.html,https://s.yimg.com/ny/api/res/1.2/EpAz_Vcy0hmyqhi5PSK_ZA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/aef4b35e5ea946bf7f4ed347e5c4f487,2025-07-19T01:43:31Z,"Pfizer Inc. (NYSE:PFE) is included among the 14 Best Pharma Dividend Stocks to Buy in 2025.
Pfizers (PFE) Dividend Safety: Balancing Innovation and Shareholder Returns
A medical technician wearing … [+1801 chars]"
5,"{'id': None, 'name': 'Yahoo Entertainment'}",Ali Ahmed,Pfizer (PFE) Reports XTANDI Shows Life-Extending Benefits,"Pfizer Inc. (NYSE:PFE) is one of the 13 Best Large Cap Stocks to Buy Right Now. On July 10, Pfizer Inc. (NYSE:PFE) shared positive topline results from the...",https://finance.yahoo.com/news/pfizer-pfe-reports-xtandi-shows-064841691.html,https://s.yimg.com/ny/api/res/1.2/EpAz_Vcy0hmyqhi5PSK_ZA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzM-/https://media.zenfs.com/en/insidermonkey.com/aef4b35e5ea946bf7f4ed347e5c4f487,2025-07-13T06:48:41Z,"Pfizer Inc. (NYSE:PFE) is one of the 13 Best Large Cap Stocks to Buy Right Now. On July 10, Pfizer Inc. (NYSE:PFE) shared positive topline results from the overall survival (OS) analysis from the Pha… [+1757 chars]"
6,"{'id': None, 'name': 'Barchart.com'}",Will Ashworth,Wednesday’s Unusual Options Activity Reveals 3 Standout Long Straddle Plays,There were 37 unusually active options in Wednesday Trading that expire in 30 days. This DTE reveals three standout long straddle plays that provide a nice...,https://www.barchart.com/story/news/33331632/wednesdays-unusual-options-activity-reveals-3-standout-long-straddle-plays,https://s.yimg.com/ny/api/res/1.2/Aa.ba_sdyNielQd.1AzS7w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/barchart_com_477/0beda66f37316f01a6efdd207a30bffe,2025-07-10T17:30:02Z,"Business women touching the options screen by Denizce via Shutterstock
There were 981 unusually active options in Wednesday trading. Of those, 597 were calls, and 384 were puts.
Generally, I like t… [+4698 chars]"
7,"{'id': None, 'name': 'Yahoo Entertainment'}",,Companies Like Pfizer Inc (PFE) are Boosting the Cannabis Light Market,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_163670d1-8487-4daa-bc56-70fb45388869,,2025-07-09T05:03:24Z,"If you click 'Accept all', we and our partners, including 236 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]"
8,"{'id': None, 'name': 'Barchart.com'}",Sohini Mondal,Pfizer Earnings Preview: What to Expect,"Pfizer is expected to announce its second-quarter results next month, and analysts predict a single-digit drop in the company’s bottom-line figure.",https://www.barchart.com/story/news/33303545/pfizer-earnings-preview-what-to-expect,https://s.yimg.com/ny/api/res/1.2/mIeZVe8Z1eFtU5aHd3.G0Q--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/barchart_com_477/d7302595652f734ec569665a48732fef,2025-07-09T16:12:18Z,"Pfizer Inc_ logo sign-by JHVEPhoto via iStock
With a market cap of $145.7 billion, Pfizer Inc. (PFE) is a global, research-driven biopharmaceutical company, specializing in the discovery, developmen… [+2032 chars]"
9,"{'id': None, 'name': 'TribDem.com'}",The Tribune-Democrat,Martella's Pharmacy wallops Laurel Auto Group in Game 1 of JCBL series,"After building a six-run lead after two innings, Martella’s Pharmacy busted out for seven runs in the third to bury Laurel Auto Group 15-1 in seven innings at Roxbury Park. Boden Fernsler and Owen McDermott each swatted home runs for Martella’s Pharmacy, whic…",https://www.tribdem.com/sports/martellas-pharmacy-wallops-laurel-auto-group-in-game-1-of-jcbl-series/article_1dc42ebf-7366-4acb-b61c-e031b9c6e332.html,https://bloximages.chicago2.vip.townnews.com/tribdem.com/content/tncms/assets/v3/editorial/3/be/3be026e0-5038-11e9-a372-b39e4ee65bd6/5c9ae03faf671.image.jpg?crop=1360%2C714%2C0%2C96&resize=1200%2C630&order=crop%2Cresize,2025-07-19T11:46:00Z,"After building a six-run lead after two innings, Martellas Pharmacy busted out for seven runs in the third to bury Laurel Auto Group 15-1 in seven innings at Roxbury Park.
Boden Fernsler and Owen Mc… [+480 chars]"
